項目,Mac,Win/WSL,内容
-,-,-,-
Arc,cmd + d,-,タブのピン止め
Arc,cmd + e,-,拡張機能の表示
Arc,cmd + n,-,新しいウィンドウ(複製)を開く
Arc,cmd + o,-,preview windowをタブとして開く
Arc,cmd + s,-,サイドバーの開閉
Arc,cmd + t,-,新しいタブ(コマンドパレットに似てる)を開く
Arc,cmd + <num>,-,サイドバーのn番目のアイテムを開く
Arc,cmd + [],-,最新のタブに前後に切り替え
Arc,cmd + ctrl + n,-,新しいシークレットウィンドウ(incognito)を開く
Arc,cmd + ctrl + [],-,分割画面切り替え
Arc,cmd + option + d,-,画面分割 ※カスタム
Arc,cmd + option + g,-,ChatGPT
Arc,cmd + option + n,-,小さなウィンドウ(little arc)を開く
Arc,cmd + option + ←→,-,スペースを移動
Arc,cmd + shift + l,-,分割画面切り替え
Arc,cmd + shift + n,-,新しいウィンドウを開く
Arc,cmd + shift + r,-,強制リロード
Arc,cmd + shift + ;,-,画面分割(デフォルト)
Arc,ctrl + d,-,ディベロッパーモードのON/OFF
Arc,ctrl + shift + [],-,(廃止)分割画面切り替え
Clibor,cmd + shift + c,ctrl + shift + c,FIFOモード ※カスタム
ClickUp,b,-,(Viewの画面で)Board形式で表示
ClickUp,l,-,(Viewの画面で)List形式で表示
ClickUp,n,-,通知一覧を表示
ClickUp,q,-,サイドバーの開閉
ClickUp,s / cmd + k,-,コマンドセンター表示
ClickUp,/,-,(コマンドセンターで)コマンド一覧表示
ClickUp,cmd + c,-,(コマンドセンターで)URLリンクをコピー
ClickUp,cmd + l,-,(コマンドセンターで)現在の画面でフィルタ
ClickUp,space,-,(通知一覧で）画面をリロード
ClickUp,shift + ?,-,ショートカット一覧表示
DBeaver,space,-,結果ビューアとアクティブパネルのフォーカス切替(Activate results/panel) ※カスタム
DBeaver,F3,-,SQLエディタ(SQL scripts一覧)
DBeaver,F7,-,結果パネルの切替
DBeaver,Esc,-,セルの変更をリセット
DBeaver,cmd + [],-,前・次の下位タブ ※カスタム
DBeaver,cmd + ↑↓-,-,最初/最後の行へ移動 ※カスタム
DBeaver,cmd + (カンマ),-,設定
DBeaver,cmd + space,-,×値ビューア開閉(show/hide results panel) ※カスタム
DBeaver,cmd + space,-,オーダーの切替 ※カスタム
DBeaver,cmd + enter,-,リンク先に移動 ※カスタム
DBeaver,cmd + option + ←→,-,ヒストリーを戻す/進む
DBeaver,cmd + shift + e,-,タブ切り替え
DBeaver,cmd + shift + [],-,前・次のタブ ※カスタム
DBeaver,cmd + shift + option + [],-,ビューの切り替え ※カスタム
DBeaver,ctrl + enter,-,カーソルの1SQLを実行
DBeaver,ctrl + space,-,SQL補完
DBeaver,ctrl + g,-,指定行へ移動
DBeaver,ctrl + s,-,変更を適用(データ保存)
DBeaver,ctrl + r,-,変更をリセット
DBeaver,ctrl + shift + g,-,指定列へ移動
DBeaver,F5,-,更新
Figma,/,-,コメント
Figma,cmd + f,-,検索
Figma,cmd + .,-,サイドバー等をON/OFF
